 Empresa Sector Actividad "Inversión promovida (US$)" Fecha
0 "RIVELPEND S.A." SERV. "Transporte terrestre de carga." 1215188 2019-01-01
1 "CONSTRUCCIONES VIALES Y CIVILES S.A." SERV. "Construcciones viales." 2432081 2019-01-01
2 "GRABA S.A." COM. "Venta mayorista de productos alimenticios." 1289336 2019-01-01
3 "COSTA URBANA S.A." SERV. "Intermediación en compraventa y arrendamiento de inmuebles." 2993067 2019-01-01
4 "EMILIO DIAZ ALVAREZ S.A." COM. "Comercio al por mayor - Construcciones viales." 1503053 2019-01-01
5 "PARTRY S.A." SERV. "Recolección de desechos no peligrosos." 503297 2019-01-01
6 "SAFIDEL S.A." COM. "Comercio al por menor de vehículos nuevos / Mantenimiento y reparación mecánica y eléctrica de vehículos." 72437 2019-01-01
7 "OKIDELIYCAFE S.R.L." SERV. "Restaurante y parrilla." 375797 2019-01-01
8 "VILLA ROSA S.A." AGRO. "Explotación agropecuaria." 383955 2019-01-01
9 "ELUFAR S.A." IND. "Fabricación de productos farmaceúticos, sustancias químicas medicinales." 909109 2019-01-01
10 "NEBLIR S.A." IND. "Fabricación de hormigón." 1533027 2019-01-01
11 "MICROPAGOS S.A." IND. "Otras actividades de servicios." 217944 2019-01-01
12 "MONTFRIO LTDA." IND. "Fabricación de productos." 236922 2019-01-01
13 "SUFARMA S.A." IND. "Fabricación de ropa hospitalaria." 961177 2019-01-01
14 "FNC S.A." IND. "Fabricación de bebidas." 1855238 2019-01-01
15 "INDUNET S.A." COM. "Venta de alimentos congelados." 25195 2019-01-01
16 "LAFER LTDA." COM. Supermercado. 2901209 2019-01-01
17 "BUENA SEÑAL S.A." SERV. Publicidad. 336833 2019-01-01
18 "OPRUMIN S.A." COM. "Comercio mayorista de alimentos excepto carnes." 1513218 2019-01-01
19 "CALVAR Y CIA. S.A." SERV. "Fábrica de pastas y restaurant." 96002 2019-01-01
20 "BANCO BILVAO VIZCAYA ARGENTARIA URUGUAY S.A." SERV. Banco. 1356863 2019-01-01
21 "DEREMATE.COM DEL URUGUAY S.R.L." COM. "Comercio por mayor de computadoras, periféricos y software." 1396517 2019-01-01
22 "NOVIPLAN S.A." COM. "Actividad veterinaria." 273548 2019-01-01
23 "BALDOMIR FERRES FRANCISCO Y VALENTIN BUSTILLO JUAN EMILIO" COM. "Bares de expendios de bebida." 26248 2019-01-01
24 "TIMEKOL S.A." COM. "Comercio al por mayor de textiles." 115392 2019-01-01
25 "FASSANELLO SATRANO MARIA NELVI Y OTROS" AGRO. "Explotación agropecuaria." 802027 2019-01-01
26 "MARTHA MARIZCURRENA" AGRO. "Producción agrícola N.E.P." 109645 2019-01-01
27 "GRANJA LA NATURALEZA LTDA." AGRO. "Producción de huevos." 327349 2019-01-01
28 "ARAZATI-GUARA LTDA." AGRO. "Cría de ganado vacuno (leche para industria)." 193805 2019-01-01
29 "LUIS ENRIQUE SIERRA S.G." AGRO. "Cultivo de cereales (excepto arroz), cría de ganado vacuno y lechero." 275623 2019-01-01
30 "DIAZ VARELA EDUARDO JAVIER-PROYECTO 3" AGRO. "Explotación avícola." 1331789 2019-01-01
31 "ROMANLYR S.A." TUR. "Complejo turístico." 1294314 2019-01-01
32 "RICETI S.A." COM. "Comercio por menor de calzado y prendas de vestir." 225720 2019-01-01
33 "CODMY S.A." COM. "Restaurante y parrilladas." 53733 2019-01-01
34 "DESAFIO M Y M  SRL" COM. "Comercio al por menor en supermercados." 139736 2019-01-01
35 "MEGAAGRO URUGUAY S.A." SERV. "Depósito y almacenaje." 484078 2019-01-01
36 "CHIC PARISIEN S.A." COM. "Comercio al por menor de prendas de vestir no espec." 5284451 2019-01-01
37 "TAYM URUGUAY S.A." SERV. "Recolección de residuos, limpieza y mantenimientos de areas verdes y limpieza institucional." 251298 2019-01-01
38 "NAFECOR S.A." COM. "Importador y distribuidor de productos médicos y servicio técnico." 344508 2019-01-01
39 "LIDERCY S.A." SERV. "Transporte terrestre." 414337 2019-01-01
40 "CAMAHUAC S.A." COM. Gastronómico. 108266 2019-01-01
41 "REQUINOD S.A." SERV. "Otras actividades del servicio de alimentación." 317539 2019-01-01
42 "DIAZ VARELA EDUARDO" AGRO. "Explotación avícola." 801526 2019-01-01
43 "ARNALDO SABATINI SRL" COM. "Barraca de hierro." 298220 2019-01-01
44 "IMPACTO CONSTRUCCIONES S.A." SERV. Construcción. 939000 2019-01-01
45 "ESTESUL SRL" COM. "Estación de servicios" 396550 2019-01-01
46 "TRANSPOTES JUANGO S.A." SERV. "Transporte terrestre de cargas." 1178252 2019-01-01
47 "MARTINEZ ZINOLA HERMES ALEJANDRO S.A." SERV. "Transporte terrestre profesional de carga." 416880 2019-01-01
